Vardas              Pavardess           Galutinis vidurkis  Galutine mediana    
Vardas335           Pavarde335          2.80                3.00                
Vardas114           Pavarde114          2.80                3.00                
Vardas602           Pavarde602          2.80                4.00                
Vardas488           Pavarde488          2.80                3.00                
Vardas975           Pavarde975          2.84                6.00                
Vardas699           Pavarde699          2.84                1.00                
Vardas568           Pavarde568          2.84                6.00                
Vardas857           Pavarde857          2.84                5.00                
Vardas96            Pavarde96           2.92                5.00                
Vardas315           Pavarde315          2.92                6.00                
Vardas928           Pavarde928          2.92                4.00                
Vardas396           Pavarde396          2.92                3.00                
Vardas123           Pavarde123          2.92                5.00                
Vardas249           Pavarde249          2.92                6.00                
Vardas172           Pavarde172          2.92                5.00                
Vardas507           Pavarde507          2.92                7.00                
Vardas314           Pavarde314          2.96                2.00                
Vardas109           Pavarde109          2.96                4.00                
Vardas573           Pavarde573          2.96                4.00                
Vardas793           Pavarde793          3.00                7.00                
Vardas268           Pavarde268          3.00                6.00                
Vardas689           Pavarde689          3.00                7.00                
Vardas915           Pavarde915          3.00                5.00                
Vardas586           Pavarde586          3.00                5.00                
Vardas168           Pavarde168          3.00                7.00                
Vardas767           Pavarde767          3.04                4.00                
Vardas543           Pavarde543          3.04                4.00                
Vardas110           Pavarde110          3.08                5.00                
Vardas553           Pavarde553          3.08                5.00                
Vardas406           Pavarde406          3.08                5.00                
Vardas932           Pavarde932          3.08                6.00                
Vardas706           Pavarde706          3.08                6.00                
Vardas156           Pavarde156          3.08                8.00                
Vardas905           Pavarde905          3.08                6.00                
Vardas254           Pavarde254          3.08                7.00                
Vardas479           Pavarde479          3.08                2.00                
Vardas310           Pavarde310          3.08                2.00                
Vardas536           Pavarde536          3.12                4.00                
Vardas514           Pavarde514          3.12                5.00                
Vardas18            Pavarde18           3.12                4.00                
Vardas902           Pavarde902          3.16                3.00                
Vardas625           Pavarde625          3.16                1.00                
Vardas239           Pavarde239          3.16                6.00                
Vardas840           Pavarde840          3.16                6.00                
Vardas619           Pavarde619          3.20                5.00                
Vardas942           Pavarde942          3.20                5.00                
Vardas119           Pavarde119          3.20                3.00                
Vardas198           Pavarde198          3.20                5.00                
Vardas933           Pavarde933          3.20                4.00                
Vardas667           Pavarde667          3.24                3.00                
Vardas353           Pavarde353          3.24                9.00                
Vardas20            Pavarde20           3.24                6.00                
Vardas209           Pavarde209          3.24                8.00                
Vardas334           Pavarde334          3.24                7.00                
Vardas632           Pavarde632          3.24                8.00                
Vardas421           Pavarde421          3.24                6.00                
Vardas278           Pavarde278          3.28                5.00                
Vardas668           Pavarde668          3.28                5.00                
Vardas186           Pavarde186          3.28                3.00                
Vardas138           Pavarde138          3.28                6.00                
Vardas690           Pavarde690          3.28                4.00                
Vardas601           Pavarde601          3.28                6.00                
Vardas973           Pavarde973          3.28                5.00                
Vardas228           Pavarde228          3.32                8.00                
Vardas26            Pavarde26           3.32                7.00                
Vardas48            Pavarde48           3.32                7.00                
Vardas957           Pavarde957          3.32                3.00                
Vardas32            Pavarde32           3.32                3.00                
Vardas733           Pavarde733          3.32                4.00                
Vardas727           Pavarde727          3.36                7.00                
Vardas34            Pavarde34           3.36                6.00                
Vardas433           Pavarde433          3.36                6.00                
Vardas937           Pavarde937          3.40                4.00                
Vardas318           Pavarde318          3.40                2.00                
Vardas504           Pavarde504          3.40                5.00                
Vardas531           Pavarde531          3.40                4.00                
Vardas666           Pavarde666          3.40                5.00                
Vardas548           Pavarde548          3.40                3.00                
Vardas339           Pavarde339          3.40                7.00                
Vardas796           Pavarde796          3.44                6.00                
Vardas358           Pavarde358          3.44                7.00                
Vardas547           Pavarde547          3.44                6.00                
Vardas292           Pavarde292          3.44                5.00                
Vardas445           Pavarde445          3.44                4.00                
Vardas273           Pavarde273          3.48                8.00                
Vardas146           Pavarde146          3.48                8.00                
Vardas203           Pavarde203          3.48                3.00                
Vardas998           Pavarde998          3.48                3.00                
Vardas707           Pavarde707          3.48                9.00                
Vardas646           Pavarde646          3.52                2.00                
Vardas481           Pavarde481          3.52                7.00                
Vardas148           Pavarde148          3.52                6.00                
Vardas919           Pavarde919          3.52                7.00                
Vardas508           Pavarde508          3.52                5.00                
Vardas982           Pavarde982          3.52                4.00                
Vardas660           Pavarde660          3.52                5.00                
Vardas679           Pavarde679          3.56                8.00                
Vardas36            Pavarde36           3.56                7.00                
Vardas211           Pavarde211          3.56                5.00                
Vardas173           Pavarde173          3.56                5.00                
Vardas995           Pavarde995          3.60                6.00                
Vardas848           Pavarde848          3.60                6.00                
Vardas66            Pavarde66           3.60                7.00                
Vardas988           Pavarde988          3.60                3.00                
Vardas685           Pavarde685          3.60                3.00                
Vardas700           Pavarde700          3.60                2.00                
Vardas693           Pavarde693          3.60                7.00                
Vardas585           Pavarde585          3.64                8.00                
Vardas180           Pavarde180          3.64                8.00                
Vardas175           Pavarde175          3.64                8.00                
Vardas924           Pavarde924          3.64                5.00                
Vardas958           Pavarde958          3.64                5.00                
Vardas830           Pavarde830          3.64                4.00                
Vardas429           Pavarde429          3.68                6.00                
Vardas12            Pavarde12           3.68                9.00                
Vardas540           Pavarde540          3.68                8.00                
Vardas69            Pavarde69           3.68                6.00                
Vardas934           Pavarde934          3.68                3.00                
Vardas725           Pavarde725          3.68                3.00                
Vardas67            Pavarde67           3.68                2.00                
Vardas179           Pavarde179          3.72                4.00                
Vardas452           Pavarde452          3.72                8.00                
Vardas676           Pavarde676          3.72                5.00                
Vardas900           Pavarde900          3.72                4.00                
Vardas920           Pavarde920          3.72                4.00                
Vardas528           Pavarde528          3.72                8.00                
Vardas149           Pavarde149          3.76                7.00                
Vardas189           Pavarde189          3.76                7.00                
Vardas789           Pavarde789          3.76                7.00                
Vardas670           Pavarde670          3.76                7.00                
Vardas290           Pavarde290          3.80                6.00                
Vardas983           Pavarde983          3.80                3.00                
Vardas192           Pavarde192          3.80                5.00                
Vardas320           Pavarde320          3.80                7.00                
Vardas701           Pavarde701          3.80                4.00                
Vardas512           Pavarde512          3.80                5.00                
Vardas562           Pavarde562          3.80                5.00                
Vardas824           Pavarde824          3.80                5.00                
Vardas827           Pavarde827          3.84                4.00                
Vardas712           Pavarde712          3.84                8.00                
Vardas467           Pavarde467          3.84                2.00                
Vardas968           Pavarde968          3.84                5.00                
Vardas377           Pavarde377          3.84                3.00                
Vardas90            Pavarde90           3.84                6.00                
Vardas84            Pavarde84           3.84                2.00                
Vardas369           Pavarde369          3.84                3.00                
Vardas71            Pavarde71           3.84                7.00                
Vardas302           Pavarde302          3.88                4.00                
Vardas241           Pavarde241          3.88                5.00                
Vardas906           Pavarde906          3.88                6.00                
Vardas374           Pavarde374          3.88                6.00                
Vardas24            Pavarde24           3.92                7.00                
Vardas756           Pavarde756          3.92                4.00                
Vardas410           Pavarde410          3.92                4.00                
Vardas261           Pavarde261          3.92                2.00                
Vardas80            Pavarde80           3.92                7.00                
Vardas627           Pavarde627          3.92                3.00                
Vardas990           Pavarde990          3.92                2.00                
Vardas818           Pavarde818          3.92                7.00                
Vardas366           Pavarde366          3.92                3.00                
Vardas865           Pavarde865          3.96                5.00                
Vardas545           Pavarde545          3.96                4.00                
Vardas790           Pavarde790          3.96                5.00                
Vardas724           Pavarde724          3.96                6.00                
Vardas101           Pavarde101          3.96                5.00                
Vardas388           Pavarde388          3.96                6.00                
Vardas780           Pavarde780          4.00                4.00                
Vardas587           Pavarde587          4.00                5.00                
Vardas620           Pavarde620          4.00                7.00                
Vardas787           Pavarde787          4.00                7.00                
Vardas682           Pavarde682          4.04                4.00                
Vardas202           Pavarde202          4.04                7.00                
Vardas909           Pavarde909          4.04                6.00                
Vardas842           Pavarde842          4.04                5.00                
Vardas752           Pavarde752          4.04                5.00                
Vardas491           Pavarde491          4.04                5.00                
Vardas495           Pavarde495          4.04                5.00                
Vardas430           Pavarde430          4.08                4.00                
Vardas961           Pavarde961          4.08                9.00                
Vardas400           Pavarde400          4.12                2.00                
Vardas215           Pavarde215          4.12                6.00                
Vardas72            Pavarde72           4.12                10.00               
Vardas985           Pavarde985          4.12                6.00                
Vardas483           Pavarde483          4.12                10.00               
Vardas954           Pavarde954          4.12                5.00                
Vardas295           Pavarde295          4.12                6.00                
Vardas675           Pavarde675          4.12                5.00                
Vardas535           Pavarde535          4.12                6.00                
Vardas381           Pavarde381          4.12                4.00                
Vardas677           Pavarde677          4.16                5.00                
Vardas661           Pavarde661          4.16                2.00                
Vardas454           Pavarde454          4.16                5.00                
Vardas403           Pavarde403          4.16                4.00                
Vardas894           Pavarde894          4.20                9.00                
Vardas45            Pavarde45           4.20                5.00                
Vardas51            Pavarde51           4.20                6.00                
Vardas845           Pavarde845          4.20                6.00                
Vardas877           Pavarde877          4.20                5.00                
Vardas279           Pavarde279          4.20                9.00                
Vardas714           Pavarde714          4.20                5.00                
Vardas331           Pavarde331          4.20                3.00                
Vardas776           Pavarde776          4.20                6.00                
Vardas565           Pavarde565          4.20                5.00                
Vardas415           Pavarde415          4.20                7.00                
Vardas17            Pavarde17           4.24                9.00                
Vardas157           Pavarde157          4.24                3.00                
Vardas630           Pavarde630          4.24                2.00                
Vardas936           Pavarde936          4.24                4.00                
Vardas561           Pavarde561          4.24                3.00                
Vardas918           Pavarde918          4.28                7.00                
Vardas588           Pavarde588          4.28                6.00                
Vardas458           Pavarde458          4.28                3.00                
Vardas956           Pavarde956          4.28                2.00                
Vardas336           Pavarde336          4.28                6.00                
Vardas669           Pavarde669          4.28                3.00                
Vardas723           Pavarde723          4.28                6.00                
Vardas416           Pavarde416          4.28                8.00                
Vardas217           Pavarde217          4.28                5.00                
Vardas635           Pavarde635          4.32                4.00                
Vardas199           Pavarde199          4.32                6.00                
Vardas844           Pavarde844          4.32                5.00                
Vardas340           Pavarde340          4.32                5.00                
Vardas761           Pavarde761          4.32                2.00                
Vardas99            Pavarde99           4.32                9.00                
Vardas615           Pavarde615          4.36                3.00                
Vardas876           Pavarde876          4.36                4.00                
Vardas258           Pavarde258          4.36                7.00                
Vardas631           Pavarde631          4.36                6.00                
Vardas541           Pavarde541          4.40                5.00                
Vardas972           Pavarde972          4.40                4.00                
Vardas807           Pavarde807          4.40                6.00                
Vardas237           Pavarde237          4.40                9.00                
Vardas489           Pavarde489          4.40                8.00                
Vardas42            Pavarde42           4.44                2.00                
Vardas520           Pavarde520          4.44                7.00                
Vardas322           Pavarde322          4.44                7.00                
Vardas155           Pavarde155          4.44                3.00                
Vardas440           Pavarde440          4.44                2.00                
Vardas775           Pavarde775          4.44                8.00                
Vardas949           Pavarde949          4.48                5.00                
Vardas85            Pavarde85           4.48                6.00                
Vardas659           Pavarde659          4.48                6.00                
Vardas617           Pavarde617          4.48                5.00                
Vardas590           Pavarde590          4.48                4.00                
Vardas521           Pavarde521          4.48                6.00                
Vardas370           Pavarde370          4.48                10.00               
Vardas399           Pavarde399          4.48                4.00                
Vardas428           Pavarde428          4.48                2.00                
Vardas812           Pavarde812          4.48                5.00                
Vardas832           Pavarde832          4.48                6.00                
Vardas874           Pavarde874          4.48                5.00                
Vardas49            Pavarde49           4.48                6.00                
Vardas286           Pavarde286          4.52                7.00                
Vardas91            Pavarde91           4.52                3.00                
Vardas166           Pavarde166          4.52                7.00                
Vardas225           Pavarde225          4.52                3.00                
Vardas27            Pavarde27           4.56                1.00                
Vardas170           Pavarde170          4.56                2.00                
Vardas816           Pavarde816          4.60                8.00                
Vardas799           Pavarde799          4.60                3.00                
Vardas554           Pavarde554          4.60                4.00                
Vardas636           Pavarde636          4.60                4.00                
Vardas338           Pavarde338          4.64                6.00                
Vardas89            Pavarde89           4.64                8.00                
Vardas319           Pavarde319          4.64                6.00                
Vardas218           Pavarde218          4.64                7.00                
Vardas164           Pavarde164          4.68                8.00                
Vardas721           Pavarde721          4.68                4.00                
Vardas890           Pavarde890          4.68                4.00                
Vardas948           Pavarde948          4.68                4.00                
Vardas980           Pavarde980          4.68                3.00                
Vardas534           Pavarde534          4.68                5.00                
Vardas502           Pavarde502          4.68                3.00                
Vardas177           Pavarde177          4.68                3.00                
Vardas856           Pavarde856          4.68                5.00                
Vardas735           Pavarde735          4.72                6.00                
Vardas23            Pavarde23           4.72                8.00                
Vardas97            Pavarde97           4.72                6.00                
Vardas828           Pavarde828          4.72                5.00                
Vardas515           Pavarde515          4.72                7.00                
Vardas159           Pavarde159          4.72                5.00                
Vardas873           Pavarde873          4.76                9.00                
Vardas413           Pavarde413          4.76                4.00                
Vardas145           Pavarde145          4.76                3.00                
Vardas862           Pavarde862          4.76                4.00                
Vardas443           Pavarde443          4.76                5.00                
Vardas442           Pavarde442          4.76                8.00                
Vardas639           Pavarde639          4.80                5.00                
Vardas341           Pavarde341          4.80                2.00                
Vardas802           Pavarde802          4.80                4.00                
Vardas705           Pavarde705          4.80                7.00                
Vardas888           Pavarde888          4.80                6.00                
Vardas997           Pavarde997          4.80                5.00                
Vardas182           Pavarde182          4.80                7.00                
Vardas266           Pavarde266          4.80                5.00                
Vardas236           Pavarde236          4.80                6.00                
Vardas398           Pavarde398          4.80                9.00                
Vardas360           Pavarde360          4.80                7.00                
Vardas417           Pavarde417          4.80                7.00                
Vardas551           Pavarde551          4.84                8.00                
Vardas303           Pavarde303          4.84                2.00                
Vardas564           Pavarde564          4.84                4.00                
Vardas952           Pavarde952          4.84                3.00                
Vardas466           Pavarde466          4.84                5.00                
Vardas116           Pavarde116          4.88                7.00                
Vardas391           Pavarde391          4.88                6.00                
Vardas448           Pavarde448          4.92                4.00                
Vardas473           Pavarde473          4.92                3.00                
Vardas763           Pavarde763          4.92                3.00                
Vardas768           Pavarde768          4.92                8.00                
Vardas994           Pavarde994          4.92                5.00                
Vardas748           Pavarde748          4.92                4.00                
Vardas58            Pavarde58           4.92                5.00                
Vardas333           Pavarde333          4.96                2.00                
Vardas739           Pavarde739          4.96                6.00                
Vardas221           Pavarde221          4.96                3.00                
Vardas993           Pavarde993          4.96                3.00                
Vardas852           Pavarde852          4.96                3.00                
Vardas854           Pavarde854          4.96                3.00                
Vardas922           Pavarde922          4.96                7.00                
