Vardas              Pavardess           Galutinis vidurkis  Galutine mediana    
Vardas335           Pavarde335          2.80                3.00                
Vardas114           Pavarde114          2.80                3.00                
Vardas602           Pavarde602          2.80                4.00                
Vardas488           Pavarde488          2.80                3.00                
Vardas975           Pavarde975          2.84                6.00                
Vardas699           Pavarde699          2.84                1.00                
Vardas568           Pavarde568          2.84                6.00                
Vardas857           Pavarde857          2.84                5.00                
Vardas96            Pavarde96           2.92                5.00                
Vardas315           Pavarde315          2.92                6.00                
Vardas928           Pavarde928          2.92                4.00                
Vardas396           Pavarde396          2.92                3.00                
Vardas123           Pavarde123          2.92                5.00                
Vardas249           Pavarde249          2.92                6.00                
Vardas172           Pavarde172          2.92                5.00                
Vardas507           Pavarde507          2.92                7.00                
Vardas314           Pavarde314          2.96                2.00                
Vardas109           Pavarde109          2.96                4.00                
Vardas573           Pavarde573          2.96                4.00                
Vardas793           Pavarde793          3.00                7.00                
Vardas268           Pavarde268          3.00                6.00                
Vardas689           Pavarde689          3.00                7.00                
Vardas915           Pavarde915          3.00                5.00                
Vardas586           Pavarde586          3.00                5.00                
Vardas168           Pavarde168          3.00                7.00                
Vardas767           Pavarde767          3.04                4.00                
Vardas543           Pavarde543          3.04                4.00                
Vardas110           Pavarde110          3.08                5.00                
Vardas553           Pavarde553          3.08                5.00                
Vardas406           Pavarde406          3.08                5.00                
Vardas932           Pavarde932          3.08                6.00                
Vardas706           Pavarde706          3.08                6.00                
Vardas156           Pavarde156          3.08                8.00                
Vardas905           Pavarde905          3.08                6.00                
Vardas254           Pavarde254          3.08                7.00                
Vardas479           Pavarde479          3.08                2.00                
Vardas310           Pavarde310          3.08                2.00                
Vardas536           Pavarde536          3.12                4.00                
Vardas514           Pavarde514          3.12                5.00                
Vardas18            Pavarde18           3.12                4.00                
Vardas902           Pavarde902          3.16                3.00                
Vardas625           Pavarde625          3.16                1.00                
Vardas239           Pavarde239          3.16                6.00                
Vardas840           Pavarde840          3.16                6.00                
Vardas619           Pavarde619          3.20                5.00                
Vardas942           Pavarde942          3.20                5.00                
Vardas119           Pavarde119          3.20                3.00                
Vardas198           Pavarde198          3.20                5.00                
Vardas933           Pavarde933          3.20                4.00                
Vardas667           Pavarde667          3.24                3.00                
Vardas353           Pavarde353          3.24                9.00                
Vardas20            Pavarde20           3.24                6.00                
Vardas209           Pavarde209          3.24                8.00                
Vardas334           Pavarde334          3.24                7.00                
Vardas632           Pavarde632          3.24                8.00                
Vardas421           Pavarde421          3.24                6.00                
Vardas278           Pavarde278          3.28                5.00                
Vardas668           Pavarde668          3.28                5.00                
Vardas186           Pavarde186          3.28                3.00                
Vardas138           Pavarde138          3.28                6.00                
Vardas690           Pavarde690          3.28                4.00                
Vardas601           Pavarde601          3.28                6.00                
Vardas973           Pavarde973          3.28                5.00                
Vardas228           Pavarde228          3.32                8.00                
Vardas26            Pavarde26           3.32                7.00                
Vardas48            Pavarde48           3.32                7.00                
Vardas957           Pavarde957          3.32                3.00                
Vardas32            Pavarde32           3.32                3.00                
Vardas733           Pavarde733          3.32                4.00                
Vardas727           Pavarde727          3.36                7.00                
Vardas34            Pavarde34           3.36                6.00                
Vardas433           Pavarde433          3.36                6.00                
Vardas937           Pavarde937          3.40                4.00                
Vardas318           Pavarde318          3.40                2.00                
Vardas504           Pavarde504          3.40                5.00                
Vardas531           Pavarde531          3.40                4.00                
Vardas666           Pavarde666          3.40                5.00                
Vardas548           Pavarde548          3.40                3.00                
Vardas339           Pavarde339          3.40                7.00                
Vardas796           Pavarde796          3.44                6.00                
Vardas358           Pavarde358          3.44                7.00                
Vardas547           Pavarde547          3.44                6.00                
Vardas292           Pavarde292          3.44                5.00                
Vardas445           Pavarde445          3.44                4.00                
Vardas273           Pavarde273          3.48                8.00                
Vardas146           Pavarde146          3.48                8.00                
Vardas203           Pavarde203          3.48                3.00                
Vardas998           Pavarde998          3.48                3.00                
Vardas707           Pavarde707          3.48                9.00                
Vardas646           Pavarde646          3.52                2.00                
Vardas481           Pavarde481          3.52                7.00                
Vardas148           Pavarde148          3.52                6.00                
Vardas919           Pavarde919          3.52                7.00                
Vardas508           Pavarde508          3.52                5.00                
Vardas982           Pavarde982          3.52                4.00                
Vardas660           Pavarde660          3.52                5.00                
Vardas679           Pavarde679          3.56                8.00                
Vardas36            Pavarde36           3.56                7.00                
Vardas211           Pavarde211          3.56                5.00                
Vardas173           Pavarde173          3.56                5.00                
Vardas995           Pavarde995          3.60                6.00                
Vardas848           Pavarde848          3.60                6.00                
Vardas66            Pavarde66           3.60                7.00                
Vardas988           Pavarde988          3.60                3.00                
Vardas685           Pavarde685          3.60                3.00                
Vardas700           Pavarde700          3.60                2.00                
Vardas693           Pavarde693          3.60                7.00                
Vardas585           Pavarde585          3.64                8.00                
Vardas180           Pavarde180          3.64                8.00                
Vardas175           Pavarde175          3.64                8.00                
Vardas924           Pavarde924          3.64                5.00                
Vardas958           Pavarde958          3.64                5.00                
Vardas830           Pavarde830          3.64                4.00                
Vardas429           Pavarde429          3.68                6.00                
Vardas12            Pavarde12           3.68                9.00                
Vardas540           Pavarde540          3.68                8.00                
Vardas69            Pavarde69           3.68                6.00                
Vardas934           Pavarde934          3.68                3.00                
Vardas725           Pavarde725          3.68                3.00                
Vardas67            Pavarde67           3.68                2.00                
Vardas179           Pavarde179          3.72                4.00                
Vardas452           Pavarde452          3.72                8.00                
Vardas676           Pavarde676          3.72                5.00                
Vardas900           Pavarde900          3.72                4.00                
Vardas920           Pavarde920          3.72                4.00                
Vardas528           Pavarde528          3.72                8.00                
Vardas149           Pavarde149          3.76                7.00                
Vardas189           Pavarde189          3.76                7.00                
Vardas789           Pavarde789          3.76                7.00                
Vardas670           Pavarde670          3.76                7.00                
Vardas290           Pavarde290          3.80                6.00                
Vardas983           Pavarde983          3.80                3.00                
Vardas192           Pavarde192          3.80                5.00                
Vardas320           Pavarde320          3.80                7.00                
Vardas701           Pavarde701          3.80                4.00                
Vardas512           Pavarde512          3.80                5.00                
Vardas562           Pavarde562          3.80                5.00                
Vardas824           Pavarde824          3.80                5.00                
Vardas827           Pavarde827          3.84                4.00                
Vardas712           Pavarde712          3.84                8.00                
Vardas467           Pavarde467          3.84                2.00                
Vardas968           Pavarde968          3.84                5.00                
Vardas377           Pavarde377          3.84                3.00                
Vardas90            Pavarde90           3.84                6.00                
Vardas84            Pavarde84           3.84                2.00                
Vardas369           Pavarde369          3.84                3.00                
Vardas71            Pavarde71           3.84                7.00                
Vardas302           Pavarde302          3.88                4.00                
Vardas241           Pavarde241          3.88                5.00                
Vardas906           Pavarde906          3.88                6.00                
Vardas374           Pavarde374          3.88                6.00                
Vardas24            Pavarde24           3.92                7.00                
Vardas756           Pavarde756          3.92                4.00                
Vardas410           Pavarde410          3.92                4.00                
Vardas261           Pavarde261          3.92                2.00                
Vardas80            Pavarde80           3.92                7.00                
Vardas627           Pavarde627          3.92                3.00                
Vardas990           Pavarde990          3.92                2.00                
Vardas818           Pavarde818          3.92                7.00                
Vardas366           Pavarde366          3.92                3.00                
Vardas865           Pavarde865          3.96                5.00                
Vardas545           Pavarde545          3.96                4.00                
Vardas790           Pavarde790          3.96                5.00                
Vardas724           Pavarde724          3.96                6.00                
Vardas101           Pavarde101          3.96                5.00                
Vardas388           Pavarde388          3.96                6.00                
Vardas780           Pavarde780          4.00                4.00                
Vardas587           Pavarde587          4.00                5.00                
Vardas620           Pavarde620          4.00                7.00                
Vardas787           Pavarde787          4.00                7.00                
Vardas682           Pavarde682          4.04                4.00                
Vardas202           Pavarde202          4.04                7.00                
Vardas909           Pavarde909          4.04                6.00                
Vardas842           Pavarde842          4.04                5.00                
Vardas752           Pavarde752          4.04                5.00                
Vardas491           Pavarde491          4.04                5.00                
Vardas495           Pavarde495          4.04                5.00                
Vardas430           Pavarde430          4.08                4.00                
Vardas961           Pavarde961          4.08                9.00                
Vardas400           Pavarde400          4.12                2.00                
Vardas215           Pavarde215          4.12                6.00                
Vardas72            Pavarde72           4.12                10.00               
Vardas985           Pavarde985          4.12                6.00                
Vardas483           Pavarde483          4.12                10.00               
Vardas954           Pavarde954          4.12                5.00                
Vardas295           Pavarde295          4.12                6.00                
Vardas675           Pavarde675          4.12                5.00                
Vardas535           Pavarde535          4.12                6.00                
Vardas381           Pavarde381          4.12                4.00                
Vardas677           Pavarde677          4.16                5.00                
Vardas661           Pavarde661          4.16                2.00                
Vardas454           Pavarde454          4.16                5.00                
Vardas403           Pavarde403          4.16                4.00                
Vardas894           Pavarde894          4.20                9.00                
Vardas45            Pavarde45           4.20                5.00                
Vardas51            Pavarde51           4.20                6.00                
Vardas845           Pavarde845          4.20                6.00                
Vardas877           Pavarde877          4.20                5.00                
Vardas279           Pavarde279          4.20                9.00                
Vardas714           Pavarde714          4.20                5.00                
Vardas331           Pavarde331          4.20                3.00                
Vardas776           Pavarde776          4.20                6.00                
Vardas565           Pavarde565          4.20                5.00                
Vardas415           Pavarde415          4.20                7.00                
Vardas17            Pavarde17           4.24                9.00                
Vardas157           Pavarde157          4.24                3.00                
Vardas630           Pavarde630          4.24                2.00                
Vardas936           Pavarde936          4.24                4.00                
Vardas561           Pavarde561          4.24                3.00                
Vardas918           Pavarde918          4.28                7.00                
Vardas588           Pavarde588          4.28                6.00                
Vardas458           Pavarde458          4.28                3.00                
Vardas956           Pavarde956          4.28                2.00                
Vardas336           Pavarde336          4.28                6.00                
Vardas669           Pavarde669          4.28                3.00                
Vardas723           Pavarde723          4.28                6.00                
Vardas416           Pavarde416          4.28                8.00                
Vardas217           Pavarde217          4.28                5.00                
Vardas635           Pavarde635          4.32                4.00                
Vardas199           Pavarde199          4.32                6.00                
Vardas844           Pavarde844          4.32                5.00                
Vardas340           Pavarde340          4.32                5.00                
Vardas761           Pavarde761          4.32                2.00                
Vardas99            Pavarde99           4.32                9.00                
Vardas615           Pavarde615          4.36                3.00                
Vardas876           Pavarde876          4.36                4.00                
Vardas258           Pavarde258          4.36                7.00                
Vardas631           Pavarde631          4.36                6.00                
Vardas541           Pavarde541          4.40                5.00                
Vardas972           Pavarde972          4.40                4.00                
Vardas807           Pavarde807          4.40                6.00                
Vardas237           Pavarde237          4.40                9.00                
Vardas489           Pavarde489          4.40                8.00                
Vardas42            Pavarde42           4.44                2.00                
Vardas520           Pavarde520          4.44                7.00                
Vardas322           Pavarde322          4.44                7.00                
Vardas155           Pavarde155          4.44                3.00                
Vardas440           Pavarde440          4.44                2.00                
Vardas775           Pavarde775          4.44                8.00                
Vardas949           Pavarde949          4.48                5.00                
Vardas85            Pavarde85           4.48                6.00                
Vardas659           Pavarde659          4.48                6.00                
Vardas617           Pavarde617          4.48                5.00                
Vardas590           Pavarde590          4.48                4.00                
Vardas521           Pavarde521          4.48                6.00                
Vardas370           Pavarde370          4.48                10.00               
Vardas399           Pavarde399          4.48                4.00                
Vardas428           Pavarde428          4.48                2.00                
Vardas812           Pavarde812          4.48                5.00                
Vardas832           Pavarde832          4.48                6.00                
Vardas874           Pavarde874          4.48                5.00                
Vardas49            Pavarde49           4.48                6.00                
Vardas286           Pavarde286          4.52                7.00                
Vardas91            Pavarde91           4.52                3.00                
Vardas166           Pavarde166          4.52                7.00                
Vardas225           Pavarde225          4.52                3.00                
Vardas27            Pavarde27           4.56                1.00                
Vardas170           Pavarde170          4.56                2.00                
Vardas816           Pavarde816          4.60                8.00                
Vardas799           Pavarde799          4.60                3.00                
Vardas554           Pavarde554          4.60                4.00                
Vardas636           Pavarde636          4.60                4.00                
Vardas338           Pavarde338          4.64                6.00                
Vardas89            Pavarde89           4.64                8.00                
Vardas319           Pavarde319          4.64                6.00                
Vardas218           Pavarde218          4.64                7.00                
Vardas164           Pavarde164          4.68                8.00                
Vardas721           Pavarde721          4.68                4.00                
Vardas890           Pavarde890          4.68                4.00                
Vardas948           Pavarde948          4.68                4.00                
Vardas980           Pavarde980          4.68                3.00                
Vardas534           Pavarde534          4.68                5.00                
Vardas502           Pavarde502          4.68                3.00                
Vardas177           Pavarde177          4.68                3.00                
Vardas856           Pavarde856          4.68                5.00                
Vardas735           Pavarde735          4.72                6.00                
Vardas23            Pavarde23           4.72                8.00                
Vardas97            Pavarde97           4.72                6.00                
Vardas828           Pavarde828          4.72                5.00                
Vardas515           Pavarde515          4.72                7.00                
Vardas159           Pavarde159          4.72                5.00                
Vardas873           Pavarde873          4.76                9.00                
Vardas413           Pavarde413          4.76                4.00                
Vardas145           Pavarde145          4.76                3.00                
Vardas862           Pavarde862          4.76                4.00                
Vardas443           Pavarde443          4.76                5.00                
Vardas442           Pavarde442          4.76                8.00                
Vardas639           Pavarde639          4.80                5.00                
Vardas341           Pavarde341          4.80                2.00                
Vardas802           Pavarde802          4.80                4.00                
Vardas705           Pavarde705          4.80                7.00                
Vardas888           Pavarde888          4.80                6.00                
Vardas997           Pavarde997          4.80                5.00                
Vardas182           Pavarde182          4.80                7.00                
Vardas266           Pavarde266          4.80                5.00                
Vardas236           Pavarde236          4.80                6.00                
Vardas398           Pavarde398          4.80                9.00                
Vardas360           Pavarde360          4.80                7.00                
Vardas417           Pavarde417          4.80                7.00                
Vardas551           Pavarde551          4.84                8.00                
Vardas303           Pavarde303          4.84                2.00                
Vardas564           Pavarde564          4.84                4.00                
Vardas952           Pavarde952          4.84                3.00                
Vardas466           Pavarde466          4.84                5.00                
Vardas116           Pavarde116          4.88                7.00                
Vardas391           Pavarde391          4.88                6.00                
Vardas448           Pavarde448          4.92                4.00                
Vardas473           Pavarde473          4.92                3.00                
Vardas763           Pavarde763          4.92                3.00                
Vardas768           Pavarde768          4.92                8.00                
Vardas994           Pavarde994          4.92                5.00                
Vardas748           Pavarde748          4.92                4.00                
Vardas58            Pavarde58           4.92                5.00                
Vardas333           Pavarde333          4.96                2.00                
Vardas739           Pavarde739          4.96                6.00                
Vardas221           Pavarde221          4.96                3.00                
Vardas993           Pavarde993          4.96                3.00                
Vardas852           Pavarde852          4.96                3.00                
Vardas854           Pavarde854          4.96                3.00                
Vardas922           Pavarde922          4.96                7.00                
Vardas408           Pavarde408          5.00                6.00                
Vardas974           Pavarde974          5.00                5.00                
Vardas556           Pavarde556          5.00                4.00                
Vardas546           Pavarde546          5.00                8.00                
Vardas963           Pavarde963          5.00                5.00                
Vardas731           Pavarde731          5.00                7.00                
Vardas641           Pavarde641          5.00                5.00                
Vardas37            Pavarde37           5.00                7.00                
Vardas749           Pavarde749          5.00                8.00                
Vardas418           Pavarde418          5.00                6.00                
Vardas460           Pavarde460          5.00                5.00                
Vardas347           Pavarde347          5.00                5.00                
Vardas200           Pavarde200          5.04                7.00                
Vardas187           Pavarde187          5.04                9.00                
Vardas664           Pavarde664          5.04                3.00                
Vardas297           Pavarde297          5.08                5.00                
Vardas207           Pavarde207          5.08                6.00                
Vardas103           Pavarde103          5.08                5.00                
Vardas785           Pavarde785          5.08                6.00                
Vardas742           Pavarde742          5.08                7.00                
Vardas367           Pavarde367          5.08                3.00                
Vardas326           Pavarde326          5.08                5.00                
Vardas88            Pavarde88           5.08                5.00                
Vardas327           Pavarde327          5.08                4.00                
Vardas584           Pavarde584          5.08                2.00                
Vardas486           Pavarde486          5.12                8.00                
Vardas566           Pavarde566          5.12                3.00                
Vardas498           Pavarde498          5.12                4.00                
Vardas78            Pavarde78           5.12                7.00                
Vardas981           Pavarde981          5.12                8.00                
Vardas943           Pavarde943          5.12                2.00                
Vardas577           Pavarde577          5.16                2.00                
Vardas280           Pavarde280          5.16                3.00                
Vardas3             Pavarde3            5.16                3.00                
Vardas965           Pavarde965          5.16                4.00                
Vardas766           Pavarde766          5.16                5.00                
Vardas342           Pavarde342          5.16                4.00                
Vardas283           Pavarde283          5.16                6.00                
Vardas895           Pavarde895          5.16                5.00                
Vardas423           Pavarde423          5.20                9.00                
Vardas939           Pavarde939          5.20                9.00                
Vardas831           Pavarde831          5.20                4.00                
Vardas987           Pavarde987          5.20                3.00                
Vardas363           Pavarde363          5.24                7.00                
Vardas112           Pavarde112          5.24                9.00                
Vardas897           Pavarde897          5.24                5.00                
Vardas558           Pavarde558          5.28                7.00                
Vardas451           Pavarde451          5.28                10.00               
Vardas610           Pavarde610          5.28                4.00                
Vardas798           Pavarde798          5.32                6.00                
Vardas219           Pavarde219          5.32                5.00                
Vardas499           Pavarde499          5.32                6.00                
Vardas683           Pavarde683          5.32                7.00                
Vardas30            Pavarde30           5.32                7.00                
Vardas470           Pavarde470          5.32                8.00                
Vardas772           Pavarde772          5.32                8.00                
Vardas56            Pavarde56           5.32                7.00                
Vardas362           Pavarde362          5.32                6.00                
Vardas359           Pavarde359          5.32                7.00                
Vardas746           Pavarde746          5.32                6.00                
Vardas517           Pavarde517          5.32                5.00                
Vardas131           Pavarde131          5.32                5.00                
Vardas453           Pavarde453          5.32                7.00                
Vardas16            Pavarde16           5.36                4.00                
Vardas426           Pavarde426          5.36                2.00                
Vardas387           Pavarde387          5.36                5.00                
Vardas277           Pavarde277          5.36                4.00                
Vardas232           Pavarde232          5.36                8.00                
Vardas349           Pavarde349          5.36                9.00                
Vardas465           Pavarde465          5.36                8.00                
Vardas947           Pavarde947          5.40                5.00                
Vardas437           Pavarde437          5.44                5.00                
Vardas673           Pavarde673          5.44                5.00                
Vardas231           Pavarde231          5.44                5.00                
Vardas44            Pavarde44           5.44                4.00                
Vardas777           Pavarde777          5.44                5.00                
Vardas800           Pavarde800          5.44                5.00                
Vardas427           Pavarde427          5.44                5.00                
Vardas703           Pavarde703          5.48                8.00                
Vardas93            Pavarde93           5.48                8.00                
Vardas757           Pavarde757          5.48                7.00                
Vardas480           Pavarde480          5.48                9.00                
Vardas25            Pavarde25           5.48                1.00                
Vardas450           Pavarde450          5.52                9.00                
Vardas843           Pavarde843          5.52                9.00                
Vardas519           Pavarde519          5.52                4.00                
Vardas804           Pavarde804          5.52                4.00                
Vardas709           Pavarde709          5.52                4.00                
Vardas269           Pavarde269          5.52                4.00                
Vardas357           Pavarde357          5.52                6.00                
Vardas886           Pavarde886          5.52                5.00                
Vardas695           Pavarde695          5.56                2.00                
Vardas325           Pavarde325          5.56                3.00                
Vardas710           Pavarde710          5.56                7.00                
Vardas227           Pavarde227          5.56                8.00                
Vardas555           Pavarde555          5.56                4.00                
Vardas935           Pavarde935          5.56                7.00                
Vardas332           Pavarde332          5.56                6.00                
Vardas265           Pavarde265          5.60                4.00                
Vardas797           Pavarde797          5.60                2.00                
Vardas726           Pavarde726          5.60                5.00                
Vardas853           Pavarde853          5.60                8.00                
Vardas438           Pavarde438          5.60                10.00               
Vardas917           Pavarde917          5.60                6.00                
Vardas151           Pavarde151          5.60                5.00                
Vardas301           Pavarde301          5.60                5.00                
Vardas713           Pavarde713          5.60                5.00                
Vardas344           Pavarde344          5.64                8.00                
Vardas65            Pavarde65           5.64                3.00                
Vardas439           Pavarde439          5.64                8.00                
Vardas552           Pavarde552          5.64                7.00                
Vardas964           Pavarde964          5.64                4.00                
Vardas896           Pavarde896          5.64                8.00                
Vardas921           Pavarde921          5.64                6.00                
Vardas46            Pavarde46           5.68                5.00                
Vardas79            Pavarde79           5.68                5.00                
Vardas412           Pavarde412          5.68                4.00                
Vardas471           Pavarde471          5.68                4.00                
Vardas524           Pavarde524          5.68                5.00                
Vardas365           Pavarde365          5.68                5.00                
Vardas863           Pavarde863          5.68                5.00                
Vardas252           Pavarde252          5.68                5.00                
Vardas847           Pavarde847          5.68                2.00                
Vardas698           Pavarde698          5.68                5.00                
Vardas222           Pavarde222          5.68                5.00                
Vardas472           Pavarde472          5.68                5.00                
Vardas28            Pavarde28           5.72                3.00                
Vardas371           Pavarde371          5.72                9.00                
Vardas210           Pavarde210          5.72                7.00                
Vardas826           Pavarde826          5.72                7.00                
Vardas260           Pavarde260          5.72                6.00                
Vardas444           Pavarde444          5.76                6.00                
Vardas644           Pavarde644          5.76                5.00                
Vardas128           Pavarde128          5.76                6.00                
Vardas811           Pavarde811          5.76                7.00                
Vardas892           Pavarde892          5.76                7.00                
Vardas624           Pavarde624          5.76                7.00                
Vardas361           Pavarde361          5.76                6.00                
Vardas603           Pavarde603          5.80                4.00                
Vardas820           Pavarde820          5.80                8.00                
Vardas770           Pavarde770          5.80                3.00                
Vardas194           Pavarde194          5.80                8.00                
Vardas658           Pavarde658          5.80                4.00                
Vardas680           Pavarde680          5.80                4.00                
Vardas901           Pavarde901          5.80                2.00                
Vardas271           Pavarde271          5.80                2.00                
Vardas449           Pavarde449          5.80                4.00                
Vardas242           Pavarde242          5.84                7.00                
Vardas759           Pavarde759          5.84                6.00                
Vardas755           Pavarde755          5.84                5.00                
Vardas39            Pavarde39           5.84                6.00                
Vardas893           Pavarde893          5.84                7.00                
Vardas100           Pavarde100          5.84                4.00                
Vardas253           Pavarde253          5.84                6.00                
Vardas404           Pavarde404          5.84                5.00                
Vardas293           Pavarde293          5.84                7.00                
Vardas563           Pavarde563          5.84                5.00                
Vardas411           Pavarde411          5.88                7.00                
Vardas305           Pavarde305          5.88                8.00                
Vardas681           Pavarde681          5.88                3.00                
Vardas477           Pavarde477          5.88                7.00                
Vardas321           Pavarde321          5.88                7.00                
Vardas612           Pavarde612          5.88                4.00                
Vardas801           Pavarde801          5.88                3.00                
Vardas574           Pavarde574          5.88                7.00                
Vardas966           Pavarde966          5.88                4.00                
Vardas609           Pavarde609          5.88                9.00                
Vardas774           Pavarde774          5.92                7.00                
Vardas744           Pavarde744          5.92                6.00                
Vardas419           Pavarde419          5.92                6.00                
Vardas229           Pavarde229          5.96                8.00                
Vardas931           Pavarde931          5.96                4.00                
Vardas717           Pavarde717          5.96                3.00                
Vardas407           Pavarde407          5.96                2.00                
Vardas402           Pavarde402          5.96                5.00                
Vardas181           Pavarde181          6.00                8.00                
Vardas7             Pavarde7            6.00                6.00                
Vardas478           Pavarde478          6.00                5.00                
Vardas771           Pavarde771          6.00                7.00                
Vardas160           Pavarde160          6.00                6.00                
Vardas653           Pavarde653          6.00                4.00                
Vardas838           Pavarde838          6.00                4.00                
Vardas898           Pavarde898          6.00                2.00                
Vardas697           Pavarde697          6.04                9.00                
Vardas633           Pavarde633          6.04                4.00                
Vardas861           Pavarde861          6.04                5.00                
Vardas191           Pavarde191          6.04                8.00                
Vardas914           Pavarde914          6.04                8.00                
Vardas716           Pavarde716          6.04                5.00                
Vardas378           Pavarde378          6.04                5.00                
Vardas708           Pavarde708          6.08                6.00                
Vardas760           Pavarde760          6.08                7.00                
Vardas833           Pavarde833          6.08                5.00                
Vardas282           Pavarde282          6.08                4.00                
Vardas304           Pavarde304          6.08                9.00                
Vardas887           Pavarde887          6.08                6.00                
Vardas643           Pavarde643          6.08                7.00                
Vardas815           Pavarde815          6.08                5.00                
Vardas270           Pavarde270          6.08                1.00                
Vardas728           Pavarde728          6.12                4.00                
Vardas307           Pavarde307          6.12                5.00                
Vardas296           Pavarde296          6.12                4.00                
Vardas527           Pavarde527          6.12                4.00                
Vardas306           Pavarde306          6.12                5.00                
Vardas819           Pavarde819          6.12                4.00                
Vardas778           Pavarde778          6.12                7.00                
Vardas851           Pavarde851          6.16                6.00                
Vardas60            Pavarde60           6.16                6.00                
Vardas201           Pavarde201          6.16                5.00                
Vardas791           Pavarde791          6.16                6.00                
Vardas908           Pavarde908          6.16                8.00                
Vardas130           Pavarde130          6.16                7.00                
Vardas117           Pavarde117          6.16                3.00                
Vardas240           Pavarde240          6.16                2.00                
Vardas967           Pavarde967          6.16                5.00                
Vardas813           Pavarde813          6.20                4.00                
Vardas654           Pavarde654          6.20                6.00                
Vardas47            Pavarde47           6.20                5.00                
Vardas941           Pavarde941          6.20                5.00                
Vardas538           Pavarde538          6.20                4.00                
Vardas809           Pavarde809          6.20                2.00                
Vardas505           Pavarde505          6.20                4.00                
Vardas140           Pavarde140          6.20                8.00                
Vardas868           Pavarde868          6.24                9.00                
Vardas904           Pavarde904          6.24                3.00                
Vardas435           Pavarde435          6.24                6.00                
Vardas503           Pavarde503          6.24                8.00                
Vardas878           Pavarde878          6.24                8.00                
Vardas188           Pavarde188          6.24                4.00                
Vardas834           Pavarde834          6.24                8.00                
Vardas655           Pavarde655          6.24                7.00                
Vardas883           Pavarde883          6.24                6.00                
Vardas212           Pavarde212          6.28                4.00                
Vardas769           Pavarde769          6.28                6.00                
Vardas92            Pavarde92           6.28                4.00                
Vardas329           Pavarde329          6.28                4.00                
Vardas372           Pavarde372          6.32                7.00                
Vardas244           Pavarde244          6.32                1.00                
Vardas195           Pavarde195          6.32                7.00                
Vardas183           Pavarde183          6.32                2.00                
Vardas663           Pavarde663          6.32                7.00                
